musical_expertise,aggressive,relaxed,happy,sad,correct,stimulus_number,file_name,composer,instrument,emotional_intent,emotional_intent_value,intent_rating_difference,emotional_intent_value_word,emotional_intent_value_word_general
none,1,-1,2,-1,0,286,286_aggressive_1_steelstring-guitar_FraBen_pick_new6_20200801.wav,FraBen,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,2,-1,1,1,1,296,296_aggressive_1_steelstring-guitar_GiaFer_pick_new9_20200803.wav,GiaFer,steelstring-guitar,aggressive,2,0,normal_aggressive,normal
none,2,1,2,0,0,298,298_aggressive_3_steelstring-guitar_GiaFer_pick_new9_20200803.wav,GiaFer,steelstring-guitar,aggressive,2,0,normal_aggressive,normal
none,1,-2,1,2,0,188,188_aggressive_1_classical-guitar_GioAcq_fingers_new3_20200706.wav,GioAcq,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,1,1,2,0,0,189,189_aggressive_2_classical-guitar_GioAcq_fingers_new3_20200706.wav,GioAcq,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-1,1,1,0,308,308_aggressive_1_steelstring-guitar_GioDic_fingers_new5_20200821.wav,GioDic,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,1,1,1,0,358,358_aggressive_3_steelstring-guitar_LucFra_fingers_new6_20200914.wav,LucFra,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,-1,2,0,2,0,392,392_aggressive_1_classical-guitar_MarPia_fingers_new5_20201001.wav,MarPia,classical-guitar,aggressive,2,3,normal_aggressive,normal
none,-1,1,1,1,0,394,394_aggressive_3_classical-guitar_MarPia_fingers_new5_20201001.wav,MarPia,classical-guitar,aggressive,2,3,normal_aggressive,normal
none,1,2,1,1,0,161,161_aggressive_2_steelstring-guitar_MasChi_pick_new5_20200729.wav,MasChi,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,-1,1,1,0,0,162,162_aggressive_3_steelstring-guitar_MasChi_pick_new5_20200729.wav,MasChi,steelstring-guitar,aggressive,2,3,normal_aggressive,normal
none,1,1,1,-1,0,73,73_aggressive_1_classical-guitar_MatRig_fingers_new3_20200618.wav,MatRig,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,2,-1,1,1,1,74,74_aggressive_2_classical-guitar_MatRig_fingers_new3_20200618.wav,MatRig,classical-guitar,aggressive,2,0,normal_aggressive,normal
none,2,-1,2,1,0,321,321_aggressive_1_steelstring-guitar_NicCon_pick_new4_20200804.wav,NicCon,steelstring-guitar,aggressive,2,0,normal_aggressive,normal
none,2,1,2,1,0,346,346_aggressive_3_classical-guitar_NicLat_pick_new7_20200730.wav,NicLat,classical-guitar,aggressive,2,0,normal_aggressive,normal
none,1,-2,-2,1,0,39,39_aggressive_3_steelstring-guitar_OweWin_pick_new5_20200629.wav,OweWin,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-2,0,2,0,212,212_aggressive_1_classical-guitar_SalOli_fingers_new3_20200714.wav,SalOli,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,1,2,1,1,0,214,214_aggressive_3_classical-guitar_SalOli_pick_new3_20200714.wav,SalOli,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,0,1,1,0,0,133,133_aggressive_1_steelstring-guitar_SamLor_pick_new2_20200715.wav,SamLor,steelstring-guitar,aggressive,2,2,normal_aggressive,normal
none,1,-1,1,-1,0,134,134_aggressive_2_steelstring-guitar_SamLor_pick_new2_20200715.wav,SamLor,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-1,0,1,0,135,135_aggressive_3_steelstring-guitar_SamLor_pick_new2_20200715.wav,SamLor,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-1,-1,-1,1,121,121_aggressive_1_steelstring-guitar_SimArm_fingers_new5_20200711.wav,SimArm,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,2,0,1,0,1,109,109_aggressive_1_steelstring-guitar_SteRom_fingers_new3_20200715.wav,SteRom,steelstring-guitar,aggressive,2,0,normal_aggressive,normal
none,-1,1,1,0,0,110,110_aggressive_2_steelstring-guitar_SteRom_fingers_new3_20200715.wav,SteRom,steelstring-guitar,aggressive,2,3,normal_aggressive,normal
none,1,1,0,1,0,120,120_sad_3_steelstring-guitar_SteRom_fingers_new3_20200715.wav,SteRom,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,0,1,1,0,200,200_aggressive_1_classical-guitar_TizBol_fingers_new7_20200630.wav,TizBol,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,1,0,-1,1,0,201,201_aggressive_2_classical-guitar_TizBol_fingers_new7_20200630.wav,TizBol,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,-1,1,1,1,0,98,98_aggressive_2_steelstring-guitar_TizCam_pick_new5_20200715.wav,TizCam,steelstring-guitar,aggressive,2,3,normal_aggressive,normal
none,1,2,1,1,0,86,86_aggressive_2_steelstring-guitar_TomCan_pick_new1_20200707.wav,TomCan,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-1,2,0,0,49,49_aggressive_1_steelstring-guitar_ValFui_pick_new5_20200627.wav,ValFui,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,1,1,1,0,51,51_aggressive_3_steelstring-guitar_ValFui_pick_new5_20200627.wav,ValFui,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,2,-1,-1,2,0,61,61_aggressive_1_steelstring-guitar_AdoLaV_pick_new8_20200619.wav,AdoLaV,steelstring-guitar,aggressive,3,1,very_aggressive,very
none,-2,0,0,1,0,148,148_aggressive_4_steelstring-guitar_AleMar_pick_new9_20200724.wav,AleMar,steelstring-guitar,aggressive,3,5,very_aggressive,very
none,1,1,2,0,0,368,368_aggressive_1_classical-guitar_AngLoi_fingers_new5_20200917,AngLoi,classical-guitar,aggressive,3,2,very_aggressive,very
none,1,1,2,1,0,381,381_aggressive_2_steelstring-guitar_AngLoi_pick_new3_20200917.wav,AngLoi,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,2,0,1,1,1,260,260_aggressive_1_steelstring-guitar_AntPao_pick_new9_20200801.wav,AntPao,steelstring-guitar,aggressive,3,1,very_aggressive,very
none,1,-1,-1,1,0,250,250_aggressive_3_classical-guitar_CesSam_fingers_new4_20200720.wav,CesSam,classical-guitar,aggressive,3,2,very_aggressive,very
none,2,1,1,-1,1,274,274_aggressive_3_steelstring-guitar_DavRos_pick_new3_20200901.wav,DavRos,steelstring-guitar,aggressive,3,1,very_aggressive,very
none,1,-1,-1,-1,1,237,237_aggressive_2_classical-guitar_FedCer_fingers_new3_20200714.wav,FedCer,classical-guitar,aggressive,3,2,very_aggressive,very
none,2,1,2,1,0,177,177_aggressive_2_steelstring-guitar_FilMel_pick_new6_20200729.wav,FilMel,steelstring-guitar,aggressive,3,1,very_aggressive,very
none,2,-1,2,0,0,309,309_aggressive_2_steelstring-guitar_GioDic_pick_new5_20200821.wav,GioDic,steelstring-guitar,aggressive,3,1,very_aggressive,very
none,1,1,1,1,0,356,356_aggressive_1_steelstring-guitar_LucFra_fingers_new6_20200914.wav,LucFra,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,2,-2,2,-1,0,1,1_aggressive_1_steelstring-guitar_LucTur_pick_new1_20200625.wav,LucTur,steelstring-guitar,aggressive,3,1,very_aggressive,very
none,1,-1,2,1,0,2,2_aggressive_2_steelstring-guitar_LucTur_pick_new1_20200625.wav,LucTur,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,2,-2,1,-1,1,3,3_aggressive_3_steelstring-guitar_LucTur_pick_new1_20200625.wav,LucTur,steelstring-guitar,aggressive,3,1,very_aggressive,very
none,-1,1,-1,1,0,393,393_aggressive_2_classical-guitar_MarPia_fingers_new5_20201001.wav,MarPia,classical-guitar,aggressive,3,4,very_aggressive,very
none,2,-1,2,1,0,163,163_aggressive_4_steelstring-guitar_MasChi_pick_new5_20200729.wav,MasChi,steelstring-guitar,aggressive,3,1,very_aggressive,very
none,1,1,2,0,0,75,75_aggressive_3_classical-guitar_MatRig_fingers_new3_20200618.wav,MatRig,classical-guitar,aggressive,3,2,very_aggressive,very
none,1,-2,2,1,0,320,320_aggressive_1_steelstring-guitar_NicCon_pick_new4_20200804.wav,NicCon,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,1,-1,2,-1,0,322,322_aggressive_2_steelstring-guitar_NicCon_pick_new4_20200804.wav,NicCon,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,2,-1,1,1,1,344,344_aggressive_1_classical-guitar_NicLat_pick_new7_20200730.wav,NicLat,classical-guitar,aggressive,3,1,very_aggressive,very
none,2,0,2,1,0,345,345_aggressive_2_classical-guitar_NicLat_pick_new7_20200730.wav,NicLat,classical-guitar,aggressive,3,1,very_aggressive,very
none,1,1,1,0,0,37,37_aggressive_1_steelstring-guitar_OweWin_pick_new5_20200629.wav,OweWin,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,1,1,1,0,0,213,213_aggressive_2_classical-guitar_SalOli_pick_new3_20200714.wav,SalOli,classical-guitar,aggressive,3,2,very_aggressive,very
none,1,1,2,-1,0,122,122_aggressive_2_steelstring-guitar_SimArm_fingers_new5_20200711.wav,SimArm,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,1,0,1,1,0,123,123_aggressive_3_steelstring-guitar_SimArm_fingers_new5_20200711.wav,SimArm,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,1,0,2,0,0,202,202_aggressive_3_classical-guitar_TizBol_fingers_new7_20200630.wav,TizBol,classical-guitar,aggressive,3,2,very_aggressive,very
none,-1,1,1,0,0,97,97_aggressive_1_steelstring-guitar_TizCam_pick_new5_20200715.wav,TizCam,steelstring-guitar,aggressive,3,4,very_aggressive,very
none,1,1,2,-1,0,99,99_aggressive_3_steelstring-guitar_TizCam_pick_new5_20200715.wav,TizCam,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,1,1,0,1,0,85,85_aggressive_1_steelstring-guitar_TomCan_pick_new1_20200707.wav,TomCan,steelstring-guitar,aggressive,3,2,very_aggressive,very
none,-1,1,1,0,0,50,50_aggressive_2_steelstring-guitar_ValFui_pick_new5_20200627.wav,ValFui,steelstring-guitar,aggressive,3,4,very_aggressive,very
none,2,-3,1,0,1,62,62_aggressive_2_steelstring-guitar_AdoLaV_pick_new8_20200619.wav,AdoLaV,steelstring-guitar,aggressive,1,-1,little_aggressive,little
none,2,-2,0,0,1,146,146_aggressive_2_steelstring-guitar_AleMar_pick_new9_20200724.wav,AleMar,steelstring-guitar,aggressive,1,-1,little_aggressive,little
none,2,-2,1,-2,1,369,369_aggressive_2_classical-guitar_AngLoi_fingers_new5_20200917.wav,AngLoi,classical-guitar,aggressive,1,-1,little_aggressive,little
none,1,1,1,0,0,380,380_aggressive_1_steelstring-guitar_AngLoi_pick_new3_20200917.wav,AngLoi,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,2,2,-3,0,334,334_aggressive_3_classical-guitar_AntDel_pick_new8_20200831.wav,AntDel,classical-guitar,aggressive,1,0,little_aggressive,little
none,2,-2,0,0,1,261,261_aggressive_2_steelstring-guitar_AntPao_pick_new9_20200801.wav,AntPao,steelstring-guitar,aggressive,1,-1,little_aggressive,little
none,1,-3,0,-2,1,249,249_aggressive_2_classical-guitar_CesSam_fingers_new4_20200720.wav,CesSam,classical-guitar,aggressive,1,0,little_aggressive,little
none,2,-2,1,0,1,14,14_aggressive_2_steelstring-guitar_DavBen_pick_new4_20200623.wav,DavBen,steelstring-guitar,aggressive,1,-1,little_aggressive,little
none,1,0,1,0,0,27,27_aggressive_3_classical-guitar_DavBen_pick_new8_20200526.wav,DavBen,classical-guitar,aggressive,1,0,little_aggressive,little
none,1,1,2,-1,0,272,272_aggressive_1_steelstring-guitar_DavRos_pick_new3_20200901.wav,DavRos,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,0,-1,0,1,178,178_aggressive_3_steelstring-guitar_FilMel_fingers_new6_20200729.wav,FilMel,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,1,1,-2,0,297,297_aggressive_2_steelstring-guitar_GiaFer_pick_new9_20200803.wav,GiaFer,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,0,2,0,0,190,190_aggressive_3_classical-guitar_GioAcq_fingers_new3_20200706.wav,GioAcq,classical-guitar,aggressive,1,0,little_aggressive,little
